ASSINATURA;VENCIMENTO;FORNECEDOR;TIPO;VALOR;OBJETIVO
03/02/2014;31/12/2014;RÁDIO SOCIEDADE DE NOVA FRIBURGO;Prestação de serviços;206183.8;PELO PRESENTE CONTRATO A CONTRATADA  SE OBRIGA A EXECUTAR O SERV IÇO DE VEICULAÇÃO DE PROGRAMA DE PRESTAÇÃO DE CONTAS DA ADMINISTRAÇÃO. AÇÕES. PROGRAMAÇÕES DE EVENTOS E/OU OUTRAS CAMPANHAS DE INTERESSE DA MUNICIPALIDADE.
14/02/2014;31/12/2014;COMERCIAL MILANO BRASIL LTDA.;Compras em Geral;2561890;A CONTRATADA SE OBRIGA A FORNECER GÊNEROS ALIMENTÍCIOS    (TÃO SOMENTE QUANRTO AOS  LOTES 01 E 03) PARA ATENDER AS NECESSIDADES ESCOLARES DO MUN ICÍPIO DE NOVA FRIBURGO.
06/02/2014;06/02/2016;JOSE LUIZ PINTO;Locação de Imóveis;3060.25;
12/02/2014;31/12/2014;ASSOCIAÇÃO DOS PEQUENOS PRODUTORES RURAIS E ....;Compras em Geral;540918;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E EMPREENDEDOR FAMILIAR RURAL. CONFORME ESPECIFICAÇÕES NO EDITAL.
12/02/2014;31/12/2014;ASSOC. SERRA NOVA DOS TRAB. RURAIS DE N. FRIBURGO;Compras em Geral;744428;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E EMPREENDEDOR FAMILIAR RURAL. CONFORME ESPECIFICAÇÕES CONSTNATES NO EDITAL.
20/02/2014;31/12/2014;FRIGAS FRIBURGO REVENDEDORA DE GAS LTDA;Compras em Geral;248500;A CONTRATADA SE OBRIGA A FORNECER GÁS GLP - 13 KG E 45 KG. CONFORME ESPECIFICAÇÕES QUANTIDADES ESPECIFICADAS NO EDITAL.
27/02/2014;06/03/2014;QUALITY MIX EMPREENDIMENTOS LTDA-ME;Prestação de serviços;74000;A CONTRATADA SE OBRIGA A PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE BANHEIRO QUÍMICO. PARA ATENDER A REALIZAÇÃO DO CARNAVAL 2014. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES.
27/02/2014;06/03/2014;LOKASOM SONORIZACAO LTDA ME;Prestação de serviços;331400; A CONTRATADA SE OBRIGA A EXECUTAR O SERVIÇO DE SONORIZAÇÃO E ILUMINAÇÃO CÊNICA PARA A REALIZAÇÃO DO CARNAVAL 2014.
06/02/2014;30/08/2014;CAMINHOS DOURADOS AGENCIA DE VIAGENS E TURISMO LTD;Prestação de serviços;7970000;A CONTRATADA SE OBRIGA À PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE ESCOLAR. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES. CONSTANTES NO EDITAL.
27/02/2014;06/03/2014;CONTUB EQUIPAMENTOS PARA CONSTRUÇÃO LTDA.;Prestação de serviços;33900;A CONTRATADA SE OBRIGA A PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE GRADES DE CONTENÇÃO. PARA ATENDER Á REALIZAÇÃO DO CARNAVAL 2014.. CONFORME ESPECIFICAÇÕES CONSTANTES NO EDITAL.
19/02/2014;31/12/2014;DISTRIBUIDORA FRIMINERAL LTDA;Compras em Geral;36000;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE ÁGUA MINERAL ACONDICIONADA EM GALÃO DE 20 LITROS PARA USO DAS SECREATRIAS DA PREFEITURA MUNICIPAL DE NOVA FRIBURGO.
27/02/2014;30/12/2014;TENDAS E COMPANHIA RJ LTDA-ME;Prestação de serviços;438850;A CONTRATADA SE OBRIGA A EXECUTAR O SERVIÇO DE LOCAÇÃO DE INFRAESTRUTURA ARQUIBANCADAS. CABINES. CAMAROTES. PALANQUES. PALCOS. TORRES CAMARIM) PARA A REALIZAÇÃO DO CARNAVAL 2014. CONFORME ESPECIFICAÇÕES CONSTATES NO EDITAL.
06/02/2014;06/02/2015;VMC AUTO PECAS LTDA;Compras em Geral;122290;A CONTRATADA SE OBRIGA A ENTREGAR PEÇAS E ACESSÓRIOS GENUÍNOS OU ORIGINAIS PARA VEÍCULOS DE MARCA VOLKSWAGEN. FIAT. CHEVROLET/GM. TOYOTA. RENAULT. MITSUBISHI. YAMAHA E FORD. PARA A MANUTENÇÃO CORRETIVA DA FROTA DE VEÍCULOS LEVES DA PMNF.
06/02/2014;06/02/2015;ÁGUIA DIESEL LTDA.;Compras em Geral;14880;A CONTRATADA SE OBRIGA A ENTREGAR PEÇAS E ACESSÓRIOS GENUÍNOS E ORIGINAIS PARA VEÍCULOS DAS MARCAS VOLKSWAGEN. FIAT. CHEVROLET/GM. TOYOTA. RENAULT. CHERRY. MITSUBISHI. YAMAHA E FORD. PARA A MANUTENÇÃO CORRETIVA DA FROTA DE VEÍCULOS LEVES DA PMNF.
06/02/2014;07/02/2015;HP HIDRAULICA AUTO PEÇAS LTDA.;Compras em Geral;13020;A CONTRATA. SE OBRIGA A FORNECER PEÇAS E ACESSÓRIOS  GENUÍNOS OU ORIGINAIS PARA VEÍCULOS DA MARCA VOLKSWAGEN. FIAT. CHEVROLET/GM. TOYOTA. RENAULT. CHERRY. MITSUBISHI. YAMAHA E FORD. PARA A MANUTENÇÃO CORRETIVA DA FROTA DE VEÍCULOS LEVES DA PMNF.
06/02/2014;06/02/2015;AUTO PEÇAS MINEIRA LTDA.;Compras em Geral;1860;
13/02/2014;31/12/2014;AMBAR PRODUÇÕES LTDA ME;Prestação de serviços;120000;A CONTRATADA SE OBRIGA A PROMOVER EVENTOS DE FORMAÇÃO DE GESTORES E EDUCADORES DO PROGRAMA EDUCAÇÃO INCLUSIVA  CONFORME ESPECIFICAÇÕES
13/03/2014;01/01/2016;PETROBRAS DISTRIBUIDORA S.A;Compras em Geral;1753260;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE COMBUSTÍVEL - GASOLINA E ÓLEO DIESEL - PARA ABASTECIMENTO DA FROTA MUNICIPAL. COM INSTALAÇÃO DE EQUIPAMENTO EM CONSIGNAÇÃO.....
27/03/2014;27/03/2016;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS-APAE;Prestação de serviços;346752;O PRESENTE CONTRATO TEM COMO OBJETO A PRESTAÇÃO DE SERVIÇOS  GRÁFICOS PARA IMPRESSÃO DO MATERIAL OFICIAL A PREFEITURA MUNICIPAL DE NOVA FRIBURGO.CLÁUSULA SEGUNDA  -   2.1 -- A EXECUÇÃO DO OBJETO DE PRESENTE CONTRATO SERÁ DE ACORDO COM AS ESPECIFICAÇÕES FORMULADAS PELO CONTRATANTE NA JUSTIFICATIVA INICIAL DE FLS. 03/13 E NO PROJETO BÁSICO DE FLS. 84/85 DO PROCESSO ADMINISTRATIVO Nº 3644/2014.
21/03/2014;31/12/2014;FRIGAS FRIBURGO REVENDEDORA DE GAS LTDA;Compras em Geral;36510;A CONTRATADA. SE OBRIGA AO FORNECIMENTO DE GÁS GLP 13KG E 45 KG. CONFORME ESPECIFICAÇÕES E QUANTIDADES CONSTANTES NO EDITAL.
21/03/2014;01/01/1973;TRANSRIO CAMINHAO.ONIBUS.MAQUINA E MOTORES LTDA;Compras em Geral;6500000;A CONTRATADA SE OBRIGA A FORNECER MÁQUINAS E VEÍCULOS 0 KM PARA A SECRETARIA MUNICIPAL DE OBRAS TÃO SOMENTE QUANTO AO LOTE 02.
21/03/2014;20/05/2014;WEBER MASCHINENTECHNIK DO BRASIL LTDA.;Compras em Geral;88665;A CONTRATADA DEVERÁ FORNECER  MÁQUINAS E VEÍCULOS  0  KM PARA A SECRETARIA MUNICIPAL DE OBRAS. CONFORME ESPECIFICALÇOES. CONDIÇÕES E QUANTIDADES CONSTANTES DO ANEXO  II.  TÃO SOMENTE QUANTO AOS ITENS 01. 02 E 05.
21/03/2014;20/04/2014;BOMAG MARINI EQUIPAMENTOS LTDA.;Compras em Geral;2285000;A CONTRATADA SE OBRIGA A FORNECER MÁQUINAS E VEÍCULOS 0 KM PARA A SECRETARIA MUNICIPAL DE OBRAS. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES DO ANEO II. TÃO SOMENTE QUANTO AOS ITENS 06 E 07.
27/03/2014;31/12/2014;JG TECH COM. E PREST. DE SERVIÇOS ALIMENTÍCIOS E GRÁFICOS LTDA - ME;Compras em Geral;5460;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS PARA A SECRETARIA DE SERVIÇOS PÚBLICOS DO MUNICIPIO DE NOVA FRIBURGO.
31/03/2014;31/12/2014;O. MAROTI IND. COM. E DISTRIBUIÇÃO DE ALIMENTOS;Compras em Geral;442356;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS (TÃO SOMENTE QUANTO AO LOTE 05) PARA ATENDER AS NECESSIDADES DAS UNIDADES ESCOLARES DO MUNICÍPIO DE NOVA FRIBURGO.
27/03/2014;31/12/2014;VINAQUE COMERCIO DE VINHOS LTDA-ME;Compras em Geral;74020;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS PARA A SECRETARIA DE SERVIÇOS PÚBLICOS DO MUNICÍPIO DE NOVA FRIBURGO. TÃO SOMENTE QUANTO AOS ITENS  02 E 03.
25/04/2014;31/12/2014;VALENCE MÁQUINAS E EQUIPAMENTOS LTDA;Compras em Geral;2310000;A CONTRATADA SE OBRIGA A FORNECER MÁQUINAS E VEÍCULOS O KM PARA A  SECRETARIA  MUNICIPAL DE OBRAS . CONSTANTES NO ANEXO II E NA  PROPOSTA  DETALHE DO EDITAL DE CERTAME. TÃO SOMENTE QUANTO AOS LOTES 05 E 07.
02/04/2014;01/04/2016;INSTITUTO UNIR SAUDE;Contratos de Gestão - Outros;1398000;
15/05/2014;17/05/2014;CONTUB EQUIPAMENTOS PARA CONSTRUÇÃO LTDA.;Prestação de serviços;22920;A CONTRATADA SE OBRIGA A EXECUTAR O SERVIÇO DE COLOCAÇÃO DE  GRADES DE CONTENÇÃO  PARA A REALIZAÇÃO DO DESFILE CÍVICO ESCOLAR EM COMEMORAÇÃO AO ANIVERSÁRIO DA CIDADE EM 16 DE MAIO DE 2014
13/05/2014;16/05/2014;LOKASOM SONORIZACAO LTDA ME;Prestação de serviços;20000;A CONTRATADA SE OBRIGA A EXECUTAR .O SERVIÇO DE SONORIZAÇÃO PARA ATENDER O DESFILE CÍVICO ESCOLAR DO DIA 16 DE MAIO DE 2014
13/05/2014;16/11/2014;TENDAS E COMPANHIA RJ LTDA-ME;Prestação de serviços;21000;A CONTRATADA SE OBRIGA A EXECUTAR O SERVIÇO DE LOCAÇÃO DE EQUIPAMENTOS DE MONTAGEM PARA ATENDER AO DESFILE CÍVICO ESCOLAR DE 16 DE MAIO DE 2014
16/05/2014;17/05/2014;QUALITY MIX EMPREENDIMENTOS LTDA-ME;Prestação de serviços;5010;A CONTRATADA SE OBRIGA  À PRESTAÇÃO DO SERVIÇO DE LOCAÇÃO DE BANHEIROS QUÍMICOS PARA ATENDER A REALIZAÇÃO DO DESFILE CÍVICO ESCOLAR QUE ACONTECERÁ NO DIA 16 DE MAIO DE 2014
27/05/2014;23/12/2014;VPA CONSULTORIA ATUARIAL LTDA;Prestação de serviços;139900;A CONTRATADA SE OBRIGA  A EXECUTAR O SERVIÇO DE CONSULTORIA TÉCNICA PARA  ELABORAÇÃO  DE ESTUDOS TÉCNICOS VISANDO DIAGNOSTICAR A SITUAÇÃO REAL DO REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL  -  RPPS. DO MUNICÍPIO DE NOVA FRIBURGO CONFORME ESPECIFICAÇÕES. CONDI
01/05/2014;30/04/2015;CLUBE DE XADREZ DE NOVA FRIBURGO;Locação de Imóveis;10000;O PRESENTE CONTRATO DE LOCAÇÃO TEM COMO OBJETO PARTE DAS DEPENDÊNCIAS DO IMÓVEL DO LOCADOR. SITUADO NA AVENIDA GALDINO DO VALE  FILHO. N° 151. CENTRO NESTA CIDADE. PARA FINS DE ACOMODAÇÃO DO CENTRO DE CONVIVÊNCIA DA TERCEIRA IDADE..
27/05/2014;21/12/2014;VINAQUE COMERCIO DE VINHOS LTDA-ME;Compras em Geral;21640;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS PARA  ATENDER A CASA DE ACOLHIMENTO INSTITUCIONAL VILA SORRISO CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES DO ANEXO  NA PROPOSTA DETALHE DO EDITAL DO CERTAME EM REFERÊNCIA E NO
27/05/2014;02/03/2015;MANOEL NUNES DE JESUS;Compras em Geral;9662.1;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS  PARA ATENDER A CASA  DE ACOLHIMENTO INSTITUCIONAL VILA SORRISO. CONFORME ESPECIFICAÇÕES . CONDIÇÕES E QUANTIDADES CONSTANTES DO ANEXO I   E NO RESULTADO  DO JULGAMENTO . TÃO SOMENTE  QUANTO A
17/06/2014;16/06/2015;AUTO MECANICA CORREGO DANTAS;Prestação de serviços;37960;A CONTRATADA  SE OBRIGA A EXECUTAR O SERVIÇO DE TORNEARIA MECÂNICA PARA  A MANUTENÇÃO PREVENTIVA OU CORRETIVA DOS VEÍCULOS DE PEQUENO E GRANDE PORTE DA PREFEITURA MUNICIPAL DE NOVA FRIBURGO SOB O REGIME DE  HORA/ SERVIÇO CONFORME ESPECIFICAÇÕES . CONDIÇÕE
26/06/2014;24/10/2014;CTESA CONSTRUÇÕES LTDA.;Obras e Serviços de Engenharia;899957.26;A CONTRATADA SE OBRIGA  À PRESTAÇÃO DE SERVIÇO DE OBRA DE INFRAESTRUTURA URBANA NA RUA TEREZÓPOLIS - VILA AMÉLIA - NOVA FRIBURGO CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES DOS ANEXOS DO EDITAL DO CERTAME EM REFERÊNCIA.
24/06/2014;25/06/2014;TALENTOS  PRODUÇÕES ARTÍSTICAS E COMÉRCIO LTDA;Prestação de serviços;101000;A CONTRATADA SE OBRIGA À REALIZAÇÃO DO SHOW DO CANTOR FABIO DE MELO NO DIA 24 DE JUNHO  DE 2014. NO HORÁRIO DE 21:00  HORAS A 22:30 HORAS NA PRAÇA DERMERVAL BARBOSA MOREIRA.  NO CENTRO DA CIDADE DE NOVA FRIBURGO. POR OCASIÃO DAS COMEMORAÇÕES DO DIA DO P
17/06/2014;14/12/2014;INSTITUTO BRASILEIRO DE ADM. MUNICIPAL - IBAM;Consórcio Públ-Contrato de Programa-Outros;360000;
01/06/2014;30/06/2015;JAYME DA ROSA CONDACK;Locação de Imóveis;1168.73;O PRESENTE CONTRATO  DE LOCAÇÃO TEM COMO OBJETO O IMOVEL DO LOCADOR. SITUADO  NA ESTRADA  ALBINO DE SÁ MARTINS. S/Nº. CONQUISTA. NESTA CIDADE.  PARA FINS DE ACOMODAÇÃO DA UNIDADE ESCILAR CME OTELINA DE SÁ MARTINS A. CONDACK
01/07/2014;30/06/2015;ROQUEANO SOCIAL CLUBE;Locação de Imóveis;4151.18;O PRESENTE CONTRATO DE LOCAÇÃO TEM POR OBJETO  O IMÓVEL DO LOCADOR. SITUADO NA AVENIDA JOSÉ PIRES BARROSO. Nº 999. VIA EXPRESSA. OLARIA. NESTA CIDADE PARA FINS DE ACOMODAÇÃO DA UNIDADE ESCOLAR - PROJETO  TEMPO DE SER FELIZ.
01/07/2014;30/06/2015;MARIA ARLETE BACHINI PEREIRA E S/M;Locação de Imóveis;1703.66;O PRESENTE  CONTRATO DE LOCAÇÃO TEM COMO OBJETO O IMÓVEL DOS LOCADORES SITUADO NA RUA  LUIZ SCHOTTZ. Nº 411. CÓRREGO D'ANTAS. NESTA CIDADE. PARA FINS DE ACOMODAÇÃO DA UNIDADE ESCOLAR ESCOLA MUNICIPAL ADEZIR ALMEIDA GARCIA.
21/07/2014;22/07/2015;OMERIO DE SA MARTINS;Locação de Imóveis;885;O PRESENTE CONTRATO DE LOCAÇÃO TEM COMO OBJETO AS DEPENDÊNCIAS DO IMÓVEL RURAL PERTENCENTE AO LOCADOR E. SITUADO NA AVENIDA ANTONIO MÁRIO DE AZEVEDO NUMERO12.800.   CONQUISTA.  CAMPO DO COELHO. - 3º DISTRITO DE NOVA FRIBURGO. PARA FINBS DE  IMPLANTAÇÃO D
01/07/2014;30/06/2015;EVA ZIZELDA ALMEIDA BRAVO;Locação de Imóveis;475.97;O PRESENTE CONTRATO DE LOCAÇÃO  TEM COMO OBJETO O IMÓVEL  DA LOCADORA (CASA 01)  SITUADO  NA RUA  JOSÉ  POLLETI. Nº 805. LOTE 13. RUI SANGLARD. NESTA CIDADE PARA FINS DE ACOMODAÇÃO DA UNIDADE ESCOLAR CMEI  IZABEL  JOVELINA MONTEIRO.
01/07/2014;30/06/2015;JAMILA DE ALMEIDA ABREU;Locação de Imóveis;499.77;O PRESENTE CONTRATO DE LOCAÇÃO TEM COMO OBJETO O IMÓVEL DA LOCADORA (CASA 02. SITUADA NA RUA JOSÉ  POLETTI. Nº 805.  LOTE 13. RUI SANGLARD NESTA CIDADE.  PARA FINSDE ACOMODAÇÃO DA  UNIDADE ESCOLAR  CMEI  IZABEL JOVELINA  MOREIRA
31/07/2014;30/06/2015;ALBÉRICO ANTONIO BRANTES;Locação de Imóveis;705.98;O PRESENTE CONTRATO DE LOCAÇÃO. TEM COMO OBJETO O  IMÓVEL DO LOCADOR. SITUADO  NA RUA  LUIZ SCHOTZ. Nº 535. CÓRREGO D'ANTAS NESTA CIDADE. PARA  FINS DE ACOMODAÇÃO DA UNIDADE ESCOLAR CMEI MARIA  INÊS BACHINI.
01/07/2014;30/06/2015;INSTITUIÇÃO DAS OBRAS SOCIAIS MADRE ROSELLI;Locação de Imóveis;8265.65;O PRESENTE CONTRATO DE LOCAÇÃO TEM COMO OBJETO  PARTE DO IMÓVEL  DA INSTITUIÇÃO UTILIZADO PELO MUNICÍPIO  PARA FUNCIONAMENTO  DA  ESCOLA   MUNICIPAL SANTA PAULA FRASSINETE SITUADO NA RUA  GENERAL OSÓRIO  Nº 225. CENTRO.  PARA FINS DE ACOMODAÇÃO  DA UNIDA
01/07/2014;30/06/2015;NELSON LAYOLA;Locação de Imóveis;1569.67;O PRESENTE CONTRATO DE LOCAÇÃO TEM  COMO OBJETO O IMÓVEL  DO LOCADOR SITUADO NA RUA JOSÉ MARTINS DOS SANTOS. Nº 74.   OLARIA. NESTA CIDADE PARA  FINS DE ACOMODAÇÃO DA UNIDADE ESCOLAR CMEI - ELZA BARBOSA MELHORANÇA.
23/07/2014;22/07/2015;RODRIGO FURNALLETO ROSSI-ME;Prestação de serviços;270000;A CONTRATADA SE OBRIGA A PRESTAÇÃO DE SERVIÇO DE CAPTURA DEPOSITO E GUARDA DE ANIMAIS DOMÉSTICOS DE MÉDIO E GRANDE PORTE (EQUINOS. BOVINOS.SUÍNOS. CAPRINOS E OVINOS) APREENDIDOS NAS RODOVIAS ESTADUAIS 116.130.142.148.150. NOS TRECHOS DE INTERVENÇÃO URBANA
10/07/2014;09/01/2015;DIAS E PEREIRA CONSTRUÇÕES LTDA.;Obras e Serviços de Engenharia;260484.61;A CONTRATADA SE OBRIGA À PRESTAÇÃO DO SERVIÇO DE CONSTRUÇÃO DA UNIDADE BÁSICA DE SAÚDE DA CHÁCARA DO PARAÍSO CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDA
07/07/2014;04/11/2015;LUNA TRUDE CONSTRUÇÕES LTDA;Obras e Serviços de Engenharia;150781.52;A CONTRATADA SE OBRIGA À PRESTAÇÃO DO SERVIÇO DE AMPLIAÇÃO DA UNIDADE BÁSICA DE SAÚDE DE VARGEM ALTA. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES NOS ANEXOS DO EDITAL EM REFERÊNCIA...
10/07/2014;08/10/2014;ENGREST-ENGENHARIA DE RECUPERACAO  ETRUTURAL LTDA.;Obras e Serviços de Engenharia;578939.2;A CONTRATADA SE OBRIGA  À REALIZAÇÃO  DE CONSTRUÇÃO DE MURO DE CONCRETO CICLÓPICO NA RUA LAURA CARPENTER. E NA AVENIDA CAMPESINA. CONFORME ESPECIFICAÇÕES CONDIÇÕES E QUANTIDADES CONSTANTES NOS ANEXOS DO EDITAL DO CERTAME EM REFERÊNCIA...
09/07/2014;09/12/2014;MORETTI ENGENHARIA CONSULTIVA LTDA;Obras e Serviços de Engenharia;533127.43;A CONTRATADA SE OBRIGA À REALIZAÇÃO DE CONTRATAÇÃO DE PROJETOS DE CONTENÇÃO E ESTABILIZAÇÃO DAS ENCOSTAS NOS  LOTEAMENTOS  PROGRESSO  E  MARINGÁ ...NOVA FRIBURGO...
09/07/2014;05/01/2015;ENGREST-ENGENHARIA DE RECUPERACAO  ETRUTURAL LTDA.;Obras e Serviços de Engenharia;944041.14;A CONTRATADA SE OBRIGA `PRESTAÇÃO DO SERVIÇO DE CONSTRUÇÃO DE CORTINA ATIRANTADA E MURO DE GABIÃO NA RUA SOUZA CARDOSO I E II. CONFORME  ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES DOS ANEXOS DO EDITAL DO CERTAME EM  REFERÊNCIA..
27/07/2014;06/12/2014;CANOA DA SERRA TURISMO E VIAGENS LTDA-ME;Prestação de serviços;24499.02;A CONTRATADA SE OBRIGA A  PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE PARA ALUNOS DA BANDA DE TAMBORES DO COLÉGIO ODETE PENNA MUNIZ VISANDO À PARTICIPAÇÃO EM CONCURSOS  CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES NO ANEXO II. E NA PROPOSTA DETALHE D
14/07/2014;13/10/2014;FABICON ENGENHARIA CONSTRUTORA E PAISAGISMO LTDA.;Obras e Serviços de Engenharia;72688.36;A CONTRATADA SE OBRIGA À PRESTAÇÃO DE SERVIÇO DE REFORMA DOS BANHEIROS DO PALACIO BARÃO DE NOVA FRIBURGO. SEDE DO  GOVERNO MUNICIPAL. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E  EQUALIDADES CONSTANTES NOS ANEXOS DO  EDITAL  DO PRESENTE CERTANE...
03/07/2014;31/10/2014;SOPE - SOCIEDADE DE OBRAS E PROJETOS DE ENGENHARIA;Obras e Serviços de Engenharia;9066262.61;A CONTRATADA SE OBRIGA À REALIZAÇÃO DA CONSTRUÇÃO DE CORTINA ATIRANTADA NAS RUAS ANTONIO LOPES SERTÃ E FELIPE CAMARÃO CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADE CONSTANTES DOS ANEXOS DO EDITAL DO CERTAME EM REFERENCIA..
10/07/2014;06/01/2015;ENGREST-ENGENHARIA DE RECUPERACAO  ETRUTURAL LTDA.;Obras e Serviços de Engenharia;1966236.96;A CONTRATADA SE OBRIGA À REALIZAÇÃO DE CONSTRUÇÃO DE CORTINA ATIRANTADA E MURO DE GABIÃO NAS ESTRADA VELHA DO AMPARO. C/WALDOMIRO BANJAR. CORTINA ATIRANTADA E MURO DE PESO NO PARQUE DAS FLORES E CORTINA ATIRANTADA E MURO DE PESO NA PARTE BAIXA DO TALUDE N
01/08/2014;01/02/2015;DERMERVAL BREDER DE OLIVEIRA;Locação de Imóveis;5000;"O PRESENTE CONTRATO DE LOCAÇÃO TEM COMO OBJETO O IMÓVEL DO LOCADOR  SITUADO  NA AVENIDA ANTONIO  MÁRIO DE AZEVEDO. S/Nº. ÁREA  CÓRREGO  D""ANTAS. O IMÓVEL OBJETO SERÁ UTILIZADO EXCLUSIVAMENTE PA ACOMODAÇÃO DOS BENS INSERVÍVEIS DA PREFEITURA MUNICIPAL DE NO"
