ASSINATURA;VENCIMENTO;FORNECEDOR;TIPO;VALOR;OBJETIVO
01/01/2015;31/12/2015;ANGELO CARRANCHO FAYOL - FIRMA INDIVIDUAL;Compras em Geral;19735.8;A CONTRATDA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E EMPREEDEDOR FAMILIAR RURAL. CONFORME ESPECIFICAÇÕES . CONDIÇÕES E QUANT
01/01/2015;31/12/2015;O. MAROTI IND. COM. E DISTRIBUIÇÃO DE ALIMENTOS;Compras em Geral;495831.6;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE PÃO CARECA PARA MERENDA DAS UNIDADES ESCOLARES  DO MUNICÍPIO DE NOVA FRIBURGO  CONFORME ESPECIFICAÇÕES. CONDIÇÕES EQUANTIDADES CONSTANTES NO ANEXO I  E NA PROPOSTA DETALHE DO EDITAL DO CERTAME EM REFERÊNCIA E NO
01/01/2015;31/12/2015;COOPERATIVA REGIONAL DOS PRODUTORES E AGRICULTORES;Compras em Geral;649627;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR RURAL CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES DO ANEXO  I . E NA PROPOSTA DETALHE DO EDITAL DO CERTAME  EM REFERÊNCIA. E NO RESULTADO  DO JULGAMENTO
02/01/2015;31/12/2015;DISTRIBUIDORA FRIMINERAL LTDA;Compras em Geral;40050;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE ÁGUA MINERAL NATURAL ACONDICIONADA EM GARRAFÕES DE 20 LITROS. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES DO ANEXO  I. E NA PROPOSTA DETALHE DO EDITAL DO CERTAME EM REFERÊNCIA. E NO RESULTADO DO JU
02/01/2015;01/04/2015;RIO MED EQUIPAMENBTOS BIOMÉDICOS LTDA.;Prestação de serviços;556608;A CONTRATADA SE OBRIGA À PRESTAÇÃO DE SERVIÇOS CONTINUADOS DE ENGENHARIA CLÍNICA HOSPITALAR NO HOSPITAL RAUL SERTÃ E HOSPITAL MATERNIDADE DE NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES NA REQUISIÇÃO DE SERVIÇO EM REFERÊNCI
02/01/2015;31/12/2016;ROMARIO DA COSTA BRUM;Locação de Imóveis;750;O PRESENTE CONTRATO DE LOCAÇÃO TEM COMO OBJETO O IMÓVEL DO LOCADOR. SITUADO NA RUA XINGÚ. Nº 12. LOTE 01. FRAÇÃO B-2. OLARIA. NOVA FRIBURGO. PARA INSTALAÇÃO DE UMA UNIDADE DO PROGRAMA DE SAÚDE DA FAMÍLIA EM OLARIA..
23/02/2015;23/02/2016;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;Prestação de serviços;1;PRESTAÇÃO DE SERVIÇOS DE POSTAGEM DE DOCUMENTOS E VENDA DE PRODUTOS. CONFORME TABELA ESPECÍFICA DA CONTRATADA.....
14/02/2015;14/02/2015;SHOW MIL PRODUÇÕES ARTÍSTICAS LTDA.;Prestação de serviços;65000;A  CONTRATADA SE OBRIGA À REALIZAÇÃO DO SHOW NO DIA 14 DE FEVEREIRO DE 2015 PELO CANTOR NEGUINHO DA BEIJA FLOR. POR OCASIÃO DAS COMEMORAÇÕES DO EVENTO CARNAVAL DA FAMÍLIA 2015. NO HORÁRIO DE 23:30H  ÀS 2:30H. NA PRAÇA DERMERVAL BARBOSA MOREIRA. NO CENTRO
11/02/2015;21/02/2015;GOMES E LOPES PROMOÇÕES E EVENTOS COMERCIAIS  LTDA  ME;Prestação de serviços;99000;A CONTRATADA SE OBRIGA A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE BANHEIROS QUÍMICOS  PARA A REALIZAÇÃO  DO CARNAVAL 2015. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES DO ANEXO  I  E NA PROPOSTA DETALHE DO EDITAL  DO CERTAME EM RE
12/02/2015;31/01/2016;RÁDIO SOCIEDADE DE NOVA FRIBURGO;Prestação de serviços;212493;A CONTRATADA SE OBRIGA À VEICULAÇÃO DE PROGRAMA DE PRESTAÇÃO DE CONTAS DO MUNICÍPIO  NO ANO DE 2015 E INSERÇÕES INFORMATIVAS. PARA DIVULGAR AÇÕES. PROGRAMAÇÃO DE EVENTOS E OU COMPANHAS DE INTERESSE DA MUNICIPALIDADE. CONFORME ESPECIFICAÇÃOES. CONDIÇÕES E
11/02/2015;17/02/2015;GOMES E LOPES PROMOÇÕES E EVENTOS COMERCIAIS  LTDA  ME;Prestação de serviços;95000;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE GRADES DE CONTENÇAO  PARA A REALIZAÇÃO DO CARNAVAL DE 20415. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES  CONSTANTES NO ANEXO  II . E NA PROPOSTA DETALHE DO EDITAL DO CERTAME EM REFERÊNCIA E NO RESUL
24/02/2015;11/03/2015;LATTANZI CAETANO C MAN EXTINTORES LTDA;Prestação de serviços;1045;A CONTRATADA SE OBRIGA À PRESTAÇÃO DO SERVIÇO DE INSPEÇÃO. MANUTENÇÃO E RECARGA DE EXTINTORES PORTÁTEIS PARA ATENDER AS NECESSIDADES DOS ALMOXARIFADOS  CENTRAIS (PMNF. SAÚDE E EDUCAÇÃO ) DO MUNICÍPIO DE NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E
27/02/2015;31/12/2016;MUNICÍPIO DE NOVA FRIBURGO;Contrato de Comodato;1;
10/02/2015;10/05/2015;GRANRIO ENGENHARIA LTDA;Obras e Serviços de Engenharia;120673.4;A CONTRATADA SE OBRIGA À REALIZAÇÃO DA OBRA DO MURO DE CONTENÇÃO EM CAMP0 DO COELHO - ESCOLA MUNICIPAL HERMÍNIA CONDACK - NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES DOS ANEXOS DO EDITAL DO CERTAME EM REFERÊNCIA.
12/02/2015;19/02/2015;B T EVENTOS ME;Prestação de serviços;126000;A CONTRATADA SE OBRIGA A EXECUTAR O SERVIÇO DE CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇO DE APOIO A SEGURANÇA PARA ATENDER AO EVENTO CARNAVAL DA FAMÍLIA  2015. CONFORME ESPECIFICAÇÕES  CONDIÇÕES E QUANTIDADES CONSTANTES NO ANEXO  I  E NA PROPOSTA DE
24/02/2015;22/09/2015;CONFIA  COMÉRCIO E SERVIÇOS LTDA - ME;Obras e Serviços de Engenharia;567300;A CONTRATADA SE OBRIGA À CONSTRUÇÃO DE PONTES EM DIVERSAS LOCALIDADES  DO MUNICÍPIO DE NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES  CONDIÇÕES E QUANTIDADES CONSTANTES NOS ANEXOS DO EDITAL DO CERTAME EM REFERÊNCIA. TÃO SOMENTE QUANTO OS LOTES 01 E 02.  -- § 1º
11/02/2015;20/02/2015;NOVAS TENDAS RIO BONITO  LTDA. - EPP;Prestação de serviços;408500;A CONTRATADA SE OBRIGA A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE EQUIPAMENTOS DE MONTAGEM DE ESTRUTURAS PARA A REALIZAÇÃO DO CARNAVAL  2015. CONFORME ESPECIFICAÇÕES. CONDIÇÕES  E QUANTIDADES CONSTANTES DO ANEXO  I  E NA PROPOSTA DETALHE DO EDIT
12/02/2015;20/02/2015;LOKASOM SONORIZACAO LTDA ME;Prestação de serviços;408000;A CONTRATADA SE OBRIGA A CONTRATAÇÃO DE  EMPRESA ESPECIALIZADA EM SONORIZAÇÃO E ILUMINAÇÃO CÊNICA PARA A REALIZAÇÃO DE CARNAVAL 2015. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES NO ANEXO  I  E NA  PROPOSTADETALHE DO EDITAL DO CERTAME EM RE
02/01/2015;31/12/2015;ASSOC. SERRA NOVA DOS TRAB. RURAIS DE N. FRIBURGO;Compras em Geral;748680;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E EMPREENDEDOR FAMILIAR RURAL.CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES NO ANEXO  I.  E NA PROPOSTA  DETALHE  DO EDITAL DO CERTAME EM REFERÊNCIA. E NBO RESULTADO DO JULGAMENTO. TÃO SOMENTE O LOTE  03.
02/04/2015;31/05/2016;ASSOCIACAO DOS PAIS E AMIGOS DA CRIANCA - APAC;Prestação de serviços;354523.82;A CONTRATADA SE OBRIGA À EXECUÇÃO  DO SERVIÇO DE CONVIVÊNCIA E FORTALECIMENTO DA VÍNCULOS VOLTADOS PARA A CRIANÇAS E ADOLESCENTES. CONFORME ESPECIFICAÇÕES.M CONDIÇÕES E QUANTIDADES CONSTANTES  NO ANEXO  I. E NA PROPOSTA DETALHE DO EDITAL DO CERTAME EM REFERÊNCIA E NO RESULTADO DO JULGAMENTO.
10/03/2015;10/10/2015;ECOM - SISTEMA ENGENHARIA E MEIO AMBIENTE LTDA ME;Obras e Serviços de Engenharia;89675.98;A CONTRATADA SE OBRIGA A REFORMA DA QUADRA DE  ESPORTES. CONSTRUÇÃO DE RAMPAS E BANHEIROS NA E.M.  JARDEL HOTTZ- BRAUNES - NOVA FRIBURGO CONFORME ESPECIFICAÇÕES . CONDIÇÕES E QUANTIDADES CONSTANTES NOS ANEXOS DO EDITAL DO CERTAME EM REFERÊNCIA.
10/03/2015;06/09/2015;ECOM - SISTEMA ENGENHARIA E MEIO AMBIENTE LTDA ME;Obras e Serviços de Engenharia;184787.25;A CONTRATADA SE OBRIGA A CONSTRUÇÃO DA COBERTURA DA QUADRA  DA   E.M. PROF. NAIR DE ARAUJO RODRIGUES - SÃO GERALDO - NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES  NOS ANEXOS DO EDITAL DO CERTAME EM REFERÊNCIA.
03/02/2015;31/12/2015;CAMINHOS DOURADOS AGENCIA DE VIAGENS E TURISMO LTD;Prestação de serviços;8877493.98;O OBJETO DO PRESENTE CONTRATO É A PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE ESCOLAR. AO LONGO DO ANO LETIVO DE 2015 . DISTRIBUÍDOS  AO LONGO DOS   202 (DUZENTOS E DOIS ) DIAS LETIVOS.
19/03/2015;30/11/2015;LUNA TRUDE CONSTRUÇÕES LTDA;Obras e Serviços de Engenharia;91581.47;A CONTRATADA SE OBRIGA AO SERVIÇO DE REFORMA  DO CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL PRINCESA ISABEL - NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QU
01/03/2015;31/12/2015;ERMAR ALIMENTOS LTDA;Compras em Geral;1964664.4;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS PARA ATENDER AS NECESSIDADES DAS UNIDADES ESCOLARES DO MUNICÍPIO DE NOVA FRIBURGO. CONFORME  ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES D NO ANEXO I E NA PROPOSTA DETALHE DO EDITAL DO
01/03/2015;31/12/2015;COMERCIAL MILANO BRASIL LTDA.;Compras em Geral;2965958;A CONTRATADA SE OBRIGA  AO FORNECIMENTO  DE GÊNEROS ALIMENTÍCIOS PARA ATENDER  AS NECESSIDADES  DAS UNIDADES ESCOLARES DO MUNICIPIO DE NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES. CONDIÇÕES. E QUANTIDADES CONSTANTES NO ANEXO  I  E NA PROPOSTA DETALHE DO EDITAL
01/03/2015;31/12/2015;MANOEL NUNES DE JESUS;Compras em Geral;462490;A CONTRATADA SE OBRIGA  AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS PARA ATENDER AS NECESSIDADES DAS UNIDADES ESCOLARES DO MUNICÍPIO  DE NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES NO ANEXO  I  E NA PROPOSTA DETALHE DO EDITAL  D
02/03/2015;02/03/2016;MUNICÍPIO DE NOVA FRIBURGO;Locação de Imóveis;3173.18;O PRESENTE  CONTRATO DE LOCAÇÃO TEM COMO OBJETO O IMÓVEL  DO LOCADOR  SITUADO  NA  RUA MAC NIVEN. Nº 04 - CASA -  BAIRRO YPU.  . NESTA CIDADE. PARA FINS DE FUNCIONAMENTO DO CRAS - CENTRO DE REFERÊNCIA  DE ASSISTÊNCIA SOCIAL  SENDO EXPRESSAMENTE VEDADA QUA
26/03/2015;23/06/2015;CENTRO RADIOLÓGICO DE NOVA FRIBURGO LTDA.;Prestação de serviços;860235;A CONTRATADA SE OBRIGA  À REALIZAÇÃO DE EXAMES DIAGNÓSTICOS EM ULTRASSONOGRAFIA  . ECODOPLER E ECOCARDIOGRAMA PARA ATENDER AS NECESSIDADES  DOS PACIENTES DO SUS (SISTEMA UNICO DE SAUDE)  CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES NA REQUI
27/03/2015;23/09/2015;FABICON ENGENHARIA CONSTRUTORA E PAISAGISMO LTDA.;Obras e Serviços de Engenharia;140472.68;A CONTRATADA SE OBRIGA  À REFORMA E AMPLIAÇÃO DA CASA DE PASSAGEM. CONFORME ESPECIFICAÇÕES. CONDIÇÕES  E QUANTIDADES COSNTANTES NO ANEXO  I  E NA PROPOSTA  DETALHE DO  EDITAL  DO CERTAME EM REFERÊNCIA. E NO RESULTADO DO JULGAMENTO.§ 1º -  O OBJETO PODE
01/03/2015;31/12/2015;LAR ABRIGO AMOR A JESUS;Prestação de serviços;149994;A CONTRATADA SE OBRIGA À REALIZAÇÃO DE ACOLHIMENTO INSTITUCIONAL DE PESSOA IDOSA EM SITUAÇÃO DE RUA. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES. CONSTANTES NA ANEXO  I  E NA PROPOSTA DETALHE DO EDITAL DO CERTAME EM REFERÊNCIA E NO RESULTADO DO JULG
27/03/2015;16/09/2015;PLAN CONSULTORIA E PESQUISA EM CIENCIAS SOCIAIS L;Prestação de serviços;54000;A CONTRATADA SE OBRIGA À EXECUÇÃO DO SERVIÇO DE REALIZAÇÃO DE DIAGNÓSTICO MUNICIPAL DE TRABALHO INFANTIL. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES NO ANEXO  I  . E NA PROPOSTA DETALHE DO EDITAL DO CERTAME EM REFERÊNCIA E NO RESULTADO DO
13/03/2015;12/03/2016;MODERNIZAÇÃO PUBLICA E INFORMATICA LTDA - EPP;Prestação de serviços;1775000;CONSTITUI OBJETO DO PRESENTE A CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS PARA CONCESSÃO DE LICENÇA  E USO DOS SOFTWARES. CONFORME LISTAGEM DESCRITANO CORPO DO CONTRATO. A EXECUÇÃO DO PRESENTE CONTRATO SERÁ DE 12 MESES CONTADOS DA ASSINATURA DES
27/03/2015;28/03/2016;HOSPITAL OFTALMOLOGICO SANTA BEATRIZ LTDA.;Prestação de serviços;406800;A CONTRATADA SE OBRIGA A REALIZAÇÃO DE PROCEDIMENTOS AMBULATORIAIS PARA ATENDER AS NECESSIDADES DOS PACIENTES DO SUS ( SISTEMA ÚNICO DE SAÚDE ).  CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES NA REQUISIÇÃO DE SERVIÇO EM REFERÊNCIA ( FLS 16
31/03/2015;30/08/2015;LUNA TRUDE CONSTRUÇÕES LTDA;Obras e Serviços de Engenharia;64605.19;A CONTRATADA SE OBRIGA À CONSTRUÇÃO DE UMA PRAÇA NO LOTEAMENTO MARINGÁ - 2º DISTRITO DE  RIOGRANDINA - NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES . CONDIÇÕES E QU
10/04/2015;11/04/2016;FRILEO TRANSPORTES E COMERCIO DE PNEUS LTDA-ME;Prestação de serviços;73111.68;A CONTRATADA SE OBRIGA A EXECUTAR O SERVIÇO DE PRESTAÇÃO DE SERVIÇOS DE REPARO DE PNEUS DA FROTA DE VEÍCULOS DO MUNICÍPIO DE NOVA FRIBURGO. CONFORME ESPECIFICAÇOES. CONDIÇÕES E QUANTIDADES CONSTANTES NA REQUISIÇÃO DE SERVIÇOS EM REFERÊNCIA ( FL. 61) E PRO
01/04/2015;30/09/2015;INSTITUTO BRASILEIRO DE ADM. MUNICIPAL - IBAM;Prestação de serviços;150000;A CONTRATADA SE OBRIGA A MANUTENÇÃO DO SISTEMA DE ARRECADAÇÃO DO ISS ATÉ A MIGRAÇÃO PARA O NOVO SISTEMA LICITADO. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES NA REQUISIÇÃO DE SERVIÇO ( FLS. 242 ) PROPOSTA DA CONTRADA. ANEXA AO PROCESSO A
09/04/2015;08/04/2016;CREDITO &  MERCADO GESTÃO  DE VALORES MOBILIÁRIOS;Prestação de serviços;7200;A CONTRATADA SE OBRIGA A PRESTAÇÃO DE SERVIÇOS DE CONSULTORIA FINANCEIRA COM ÊNFASE EM REGIME PRÓPRIO  DE PREVIDÊNCIA SOCIAL VISANDO UMA ADMINISTRAÇÃO ADEQUADA DOS RECURSOS DO RPPS EM CUMPRIMENTO À POLÍTICA DE INVESTIMENTOS DO FUNDO  DE PREVIDÊNCIA SOCIAL
22/04/2015;31/12/2015;VINAQUE COMERCIO DE VINHOS LTDA-ME;Compras em Geral;63100;A CONTRATADA SE OBRIGA AO FORNECIMENTO  DE GÊNEROS ALIMENTÍCIOS ( PÓ DE CAFÉ. AÇÚCAR. LEITE LONGA VIDA.  E MARGARINA ) PARA TODAS AS SECRETARIAS DO MUNICIÍPIO DE NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES  CONSTANTES NO ANEXO  I  E NA
22/04/2015;31/12/2015;SE ESSA RUA FOSSE MINHA IND. E COM. DE ART. DE CO;Compras em Geral;53600;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS ( PÓ DE CAFÉ.  AÇÚCAR. LEITE LONGA VIDA E MARGARINA)  PARA TODAS AS SECRETARIAS DO MUNICÍPIO DE NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES  CONDIÇÕES E QUANTIDADES  CONSTANTES DO ANEXO  I  E NA PR
29/04/2015;27/06/2015;CENTRO RADIOLÓGICO DE NOVA FRIBURGO LTDA.;Prestação de serviços;58683.82;A CONTRATADA SE OBRIGA À REALIZAÇÃO DE PROCEDIMENTOS DE DIAGNÓSTICO  POR MEDICINA NUCLEAR IN VIVO (CINTILOGRAFIA)  PARA ATENDER  AS NECESSIDADES  DOS PACIENTES  DO SUS (SISTEMA UNICO DE SAUDE)  CONFORME  ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES
28/04/2015;16/12/2015;ECOM - SISTEMA ENGENHARIA E MEIO AMBIENTE LTDA ME;Obras e Serviços de Engenharia;1041505.7;O OBJETO É A CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÃO DE OBRAS:  CENTRO POPULAR DE TREINAMENTO DE RUGBY (CAMPO)  E JIU-JITSU ( QUADRA POLIESPORTIVA) EM OLARIA /NOVA FRIBURGO-RJ. PODERÁ SOFRER  ACRESCIMOS OU SUPRESSÕES. NOS LIMITES PREVISTOS NO ART. 65. §§ 1
10/04/2015;10/04/2016;SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL;Prestação de serviços;124480;O SENAI-RJ.. SE OBRIGA A IMPLANTAR CURSO PROFISSIONALIZANTE NA ÁREA DE TORNEIRO MECÂNICO DESTINADO AOS ADOLESCENTES EM SITUAÇÃO DE RISCO E VULNERABILIDADE SOCIAL E/OU ORIUNDOS DE FAMÍLIAS DE BAIXA RENDA. QUE  ESTEJAM SENDO ATENDIDOS POR PROGRAMAS ASSISTENCIAIS DO GOVERNO. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES NA REQUISIÇÃO DE SERVIÇOS ( LFS. 62) E PROPOSTA DO SENAI-RJ.. (FLS 1/16). QUE SÃO PARTE INTEGRANTES DESTE CONTRATO. INDEPENDENTEMENTE DE TRANSCRIÇÃO.
09/04/2015;08/04/2016;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL- SENAC ARRJ;Prestação de serviços;141601.08;A CONTRATADA SE OBRIGA A CONTRATAÇÃO DE EMPRESA PARA IMPLANTAÇÃO DE CURSOS PROFISSIONALIZANTES NA ÁREA DE RECEPCIONISTA EM MEIOS DE HOSPEDAGEM E OPERADOR DE COMPUTADOR DESTINADOS AOS ADOLESCENTES EM SITUAÇÃO  DE RISCO E VULNERABILIDADE SOCIAL E/OU ORIUNDOS DE FAMÍLIAS DE BAIXA RENDA. QUE ESTEJAM SENDO ATENDIDOS POR PROGRAMAS ASSISTENCIAIS DO GOVERNO..
10/04/2015;10/08/2015;GRANRIO ENGENHARIA LTDA;Obras e Serviços de Engenharia;384438.77;A CONTRATADA SE OBRIGA À CONTRATAÇÃO DE EMPRESA PARA CONSTRUÇÃO DA ÁREA EXTERNA DA CRECHE VILA NOVA - NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES . CONDIÇÕES E QUANTIDADES  CONSTANTES NOS ANEXOS DO EDITAL DO CERTAME EM REFERÊNCIA.  § 1º - O OBJETO PODERÁ SOFRE
04/06/2015;03/08/2015;FABICON ENGENHARIA CONSTRUTORA E PAISAGISMO LTDA.;Obras e Serviços de Engenharia;68177.45;
14/05/2015;14/11/2015;DIEGO KNUST DA ROZA ME;Compras em Geral;29198;A CONTRATADA SE OBRIGA A FORNECER  AQUISIÇÃO DE CIMENTO  CP- 32 - SACO COM 50 KG. PARA A SECRETARIA DE OBRAS. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES DO ANEXO II. E NA PROPOSTA DETALHE DO EDITAL DO CERTAME EM REFERÊNCIA.  E NO  RESULTADO  DO JULGAMENTO.
01/05/2015;31/05/2016;GRUPO DE PROMOCAO HUMANA - GPH;Locação de Imóveis;9300;O PRESENTE CONTRATO DE LOCAÇÃO TEM COMO  OBJETO O IMÓVEL DO LOCADOR SITUADO NA PRAÇA DE  SANT'ANA. Nº 85. CÔNEGO. NOVA FRIBURGO -RJ..  PARA INSTALAÇÃO DE UNIDADE ESCOLAR PARA  ATENDIMENTO DA DEMANDA DA LOCALIDADE DO CÔNEGO.
