ASSINATURA;VENCIMENTO;FORNECEDOR;TIPO;VALOR;OBJETIVO
27/07/2010;23/03/2011;ENGREST-ENGENHARIA DE RECUPERACAO  ETRUTURAL LTDA.;Obras e Serviços de Engenharia;217133.27;REALIZAÇÃO DE OBRAS DE CONSTRUÇÃO DE CORTINA ATIRANTADA NA AV. PRESIDENTE COSTA E SILVA À MARGEM ESQUERDA DO RIO BENGALAS.
06/08/2010;05/08/2015;O DIA COMERCIAL LTDA.;Prestação de serviços;36738.78;CONTRATAÇÃO DE EMPRESA JORNALÍSTICA PARA PUBLICAÇÃO DE AVISOS DE LICITAÇÃO NA SEÇÃO DE NOTICIÁRIO EM JORNAL DE GRANDE CIRCULAÇÃO REGIONAL E ASSINATURA DIÁRIA PARA PREFEITURA MUNICIPAL DE NOVA FRIBURGO.
28/08/2010;21/11/2011;CALEDONIA CONSTRUTORA LTDA.;Obras e Serviços de Engenharia;1081264.9;CONSTRUÇÃO DO PRÉDIO DA ESCOLA MUNICIPAL ACIR SPITZ NO DISTRITO DE LUMIAR.
29/09/2010;25/02/2011;CONSTRUTORA TARDOCK LTDA-EPP;Obras e Serviços de Engenharia;148021.4;OBRAS DE CONTENÇÃO DA RUA ADELINO ALVES DO AMORIM NO BAIRRO RUY SANGLARD
30/09/2010;29/12/2011;Friburgo On Line Ltda. - ME;Prestação de Serviços de TI (Tec. da Informação);39960;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA INSTALAÇÃO E IMPLEMENTAÇÃO DE ACESSO À INTERNET NA SEDE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO. NIC'S. UE'S. CRECHE E ESCOLA DE ENFERMAGEM VISANDO A INCLUSÃO DIGITAL NA REDE MUNICIPAL DE ENSINO.
30/09/2010;31/12/2010;TREVO COMERCIO DE GENEROS ALIMENTICIOS LTDA.;Compras em Geral;397940;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS - CARNES.
02/09/2010;02/09/2012;CARLOS FREIRE MACHADO;Locação de Imóveis;9600;CONTRATO DE LOCAÇÃO TEM COMO OBJETO O IMÓVEL SITUADO NA RUA MARIA D' ANGELO MAGLIANO. Nº 159 - BLOCO 11 - APTO. 302 - CONDOMÍNIO PARQUE DAS MAGNÓLIAS. OLARIA. NESTA CIDADE. PARA FINS DE ACOMODAÇÃO DO SARGENTO RESPONSÁVEL PELO TG 01-010 DE NOVA FRIBURGO E
26/10/2010;24/11/2010;Diego K. da Roza - Me;Prestação de serviços;36500;CONTRATAÇÃO DE EMPRESA DE PRESTAÇÃO DE SERVIÇO DE REFORMA GERAL DO MOTOR E REPOSIÇÃO DE PEÇAS DO CAMINHÃO VW MODELO 14-170 BT E DA RETROESCAVADEIRA RADON MODELO RK406 B 4X4 TURBINADA.
26/10/2010;31/12/2010;TREVO COMERCIO DE GENEROS ALIMENTICIOS LTDA.;Compras em Geral;20899.3;AQUISIÇÃO DE GENEROS ALIMENTICIOS (CEREAIS. CARNES E PÃO) PARA ATENDER AS NECESSIDADES DA APAE E DA PESTALOZZI.
05/10/2010;01/06/2011;CONSTRUTORA TARDOCK LTDA-EPP;Obras e Serviços de Engenharia;1078073.63;OBRA DE MODIFICAÇÃO E ACRÉSCIMO DO PRÉDIO DO SPEAC - CASA DE PASSAGEM - CÔNEGO.
01/10/2010;25/09/2011;Brumar Construtora Ltda;Obras e Serviços de Engenharia;1704932.15;OBRAS DE REURBANIZAÇÃO. CONSTRUÇÃO DE REDES DE ÁGUAS PLUVIAIS E DEMOLIÇÃO E CONSTRUÇÃO DE NOVA PONTE NO BAIRRO DE CONSELHEIRO PAULINO.
23/12/2010;31/01/2011;MAV MASTER AUDIO E VIDEO PUBL. PROD. E MULTIMIDIA;Prestação de serviços;26666.66;CONTRATAÇÃO DE EMISSORA DE TELEVISÃO PARA VEICULAÇÃO DE CAMPANHA PUBLICITÁRIA NAS ÁREAS URBANAS E RURAIS DO MUNICÍPIO SOBRE AS AÇÕES DO CADASTRO ÚNICO - PROGRAMA BOLSA FAMÍLIA.
28/12/2010;07/01/2011;TVSBT CANAL 03 DE NOVA FRIBURGO LTDA;Prestação de serviços;26666.66;CONTRATAÇÃO DE EMISSORA DE TELEVISÃO PARA VEICULAÇÃO DE CAMPANHA PUBLICITÁRIA NAS ÁREAS URBANAS E RURAIS DO MUNICÍPIO SOBRE AS AÇÕES DO CADASTRO ÚNICO - PROGRAMA BOLSA FAMÍLIA.
28/12/2010;18/01/2011;RÁDIO SOCIEDADE DE NOVA FRIBURGO;Prestação de serviços;26666.66;CONTRATAÇÃO DE EMISSORA DE RÁDIO PARA VEICULAÇÃO DE CAMPANHA PUBLICITÁRIA NAS ÁREAS URBANAS E RURAIS NO MUNICÍPIO SOBRE AS AÇÕES DO CADASTRO ÚNICO - PROGRAMA BOLSA FAMÍLIA.
29/12/2010;21/01/2011;LUAU FREE EVENTOS E PRODUÇÕES LTDA-EPP;Prestação de serviços;26666.66;CONTRATAÇÃO DE EMISSORA DE TELEVISÃO PARA VEICULAÇÃO DE CAMPANHA PÚBLICITÁRIA NAS ÁREAS URBANAS E RURAIS DO MUNICÍPIO SOBRE AS AÇÕES DO CADASTRO ÚNICO - PROGRAMA BOLSA FAMÍLIA.
